a148796,a00147528
a148927,a00147659
a149002,a00147734
a149346,a00148078
a149910,a00148642
a150120,a00148852
a150388,a00149120
a150530,a00149262
a150729,a00149461
a150954,a00149686
a151129,a00149861
a151323,a00150055
a151470,a00150202
a151773,a00150505
a152103,a00150835
a152204,a00150936
a152373,a00151105
a152798,a00151530
a152929,a00151661
a153123,a00151855
a153272,a00152004
a153372,a00152104
a153553,a00152285
a153897,a00152629
a154052,a00152784
a154164,a00152896
a154351,a00153083
a154507,a00153239
a154678,a00153410
a154813,a00153545
a154919,a00153652
a155056,a00153789
a155165,a00153898
a155430,a00154163
a155537,a00154270
a155850,a00154583
a156104,a00154837
a156232,a00154965
a156411,a00155144
a156987,a00155720
a157153,a00155886
a157368,a00156101
a157706,a00156440
a157841,a00156575
a158105,a00156839
a158346,a00157080
a158534,a00157268
a158655,a00157389
a158924,a00157659
a159114,a00157849
a159190,a00157925
a159375,a00158110
a159503,a00158238
a159597,a00158332
a159672,a00158407
a159811,a00158546
a159966,a00158701
a160129,a00158864
a160226,a00158961
a160371,a00159106
a160532,a00159267
a160646,a00159381
a160763,a00159498
a161000,a00159735
a161240,a00159975
a161409,a00160144
a161553,a00160288
a161690,a00160425
a161838,a00160573
a162033,a00160768
a162222,a00160957
a162330,a00161065
a162435,a00161170
a162541,a00161276
a162696,a00161431
a162949,a00161684
a163143,a00161878
a163258,a00161993
a163348,a00162083
a163513,a00162248
a163651,a00162386
a163926,a00162661
a164128,a00162863
a164255,a00162990
a164580,a00163315
a164745,a00163480
a164857,a00163592
a165213,a00163948
a165570,a00164308
a165724,a00164462
a165860,a00164598
a165943,a00164681
a166125,a00164863
a166433,a00165171
a166720,a00165458
a166847,a00165585
a167028,a00165766
a167205,a00165943
a167408,a00166146
a168015,a00166753
a168339,a00167077
a168540,a00167278
a168782,a00167520
a168933,a00167671
a169091,a00167829
a169301,a00168039
a169450,a00168188
a169813,a00168551
a169956,a00168694
a170082,a00168820
a170172,a00168910
a170318,a00169056
a170426,a00169164
a170694,a00169432
a170954,a00169692
a171088,a00169826
a171217,a00169955
a171417,a00170156
a171619,a00170358
a171978,a00170717
a172108,a00170847
a172305,a00171044
a172553,a00171292
a172708,a00171447
a172851,a00171590
a173133,a00171872
a173433,a00172172
a173569,a00172308
a173713,a00172452
a173823,a00172562
a174035,a00172774
a174254,a00172993
a174481,a00173220
a174652,a00173391
a174955,a00173694
a175025,a00173764
a175317,a00174056
a175411,a00174150
a175504,a00174243
a175640,a00174379
a175980,a00174719
a176140,a00174879
a176244,a00174983
a176384,a00175123
a176561,a00175300
a176696,a00175435
a176789,a00175528
a176980,a00175719
a177148,a00175887
a177411,a00176150
a177648,a00176387
a177959,a00176676
a178121,a00176838
a178274,a00176991
a178468,a00177186
a178829,a00177547
a179134,a00177834
a179263,a00177963
a179426,a00178126
a179764,a00178464
a179875,a00178575
a180111,a00178811
a180335,a00179035
a180490,a00179190
a180615,a00179315
a180786,a00179486
a180976,a00179676
a181115,a00179815
a181225,a00179925
a181511,a00180211
a181659,a00180359
a181796,a00180496
a181955,a00180655
a182135,a00180835
a182330,a00181030
a182462,a00181162
a182564,a00181264
a182673,a00181373
a182776,a00181476
a183204,a00181904
a183386,a00182086
a183525,a00182225
a183718,a00182418
a183810,a00182510
a183939,a00182639
a184018,a00182718
a184143,a00182843
a184261,a00182961
a184353,a00183053
a184975,a00183675
a185132,a00183832
a185232,a00183932
a185375,a00184075
a185529,a00184229
a185663,a00184363
a185843,a00184543
a185976,a00184676
a186092,a00184792
a186320,a00185020
a186460,a00185160
a186663,a00185363
a186809,a00185509
a186907,a00185607
a187059,a00185759
a187221,a00185921
a187681,a00186193
a187978,a00186490
a188104,a00186616
a188413,a00186925
a188537,a00187049
a188664,a00187176
a188931,a00187443
a189078,a00187590
a189224,a00187736
a189546,a00188058
a189643,a00188155
a189924,a00188436
a190226,a00188738
a190405,a00188917
a190505,a00189017
a190741,a00189253
a190999,a00189511
a191068,a00189580
a191321,a00189833
a191511,a00190023
a191603,a00190115
a192141,a00190653
a192448,a00190960
a192753,a00191265
a193091,a00191603
a193532,a00192026
a193933,a00192332
