a#000537,a102561,a00101800
a#000538,a102878,a00102079
a#000539,a103000,a00102201
a#000540,a103377,a00102578
a#000541,a103585,a00102786
a#000542,a103729,a00102930
a#000543,a103995,a00103196
a#000544,a104101,a00103302
a#000545,a104246,a00103447
a#000546,a104366,a00103567
a#000547,a104495,a00103696
a#000548,a104752,a00103953
a#000549,a104850,a00104051
a#000550,a105117,a00104318
a#000551,a105332,a00104533
a#000552,a105498,a00104699
a#000553,a105624,a00104825
a#000554,a105741,a00104942
a#000555,a105822,a00105023
a#000556,a105996,a00105197
a#000557,a106187,a00105388
a#000558,a106365,a00105566
a#000559,a106545,a00105746
a#000560,a106819,a00106020
a#000561,a106981,a00106182
a#000562,a107089,a00106277
a#000563,a107268,a00106456
a#000564,a107633,a00106821
a#000565,a107829,a00107017
a#000566,a107940,a00107128
a#000567,a108062,a00107250
a#000568,a108195,a00107384
a#000569,a108459,a00107648
a#000570,a108679,a00107868
a#000571,a108795,a00107984
a#000572,a108956,a00108145
a#000573,a109074,a00108263
a#000574,a109245,a00108434
a#000575,a109406,a00108595
a#000576,a109509,a00108698
a#000577,a109827,a00109016
a#000578,a109944,a00109133
a#000579,a110072,a00109261
a#000580,a110193,a00109382
a#000581,a110315,a00109504
a#000582,a110444,a00109633
a#000583,a110593,a00109782
a#000584,a110777,a00109966
a#000585,a111063,a00110252
a#000586,a111308,a00110497
a#000587,a111512,a00110701
a#000588,a111664,a00110853
a#000589,a111940,a00111129
a#000590,a112226,a00111415
a#000591,a112415,a00111604
a#000592,a112667,a00111856
a#000593,a112829,a00112018
a#000594,a113042,a00112231
a#000595,a113439,a00112628
a#000596,a113826,a00113015
a#000597,a114056,a00113245
a#000598,a114287,a00113476
a#000599,a114474,a00113663
a#000600,a114629,a00113818
a#000601,a115077,a00114266
a#000602,a115265,a00114454
a#000603,a115608,a00114797
a#000604,a115732,a00114921
a#000605,a115905,a00115094
a#000606,a116004,a00115193
a#000607,a116305,a00115494
a#000608,a116588,a00115777
a#000609,a116717,a00115906
a#000610,a116869,a00116058
a#000611,a117056,a00116245
a#000612,a117274,a00116463
a#000613,a117340,a00116529
a#000614,a117555,a00116744
a#000615,a117751,a00116940
a#000616,a117917,a00117106
a#000617,a118046,a00117235
a#000618,a118196,a00117385
a#000619,a118465,a00117654
a#000620,a118565,a00117754
a#000621,a118772,a00117961
a#000622,a118877,a00118066
a#000623,a119049,a00118238
a#000624,a119262,a00118451
a#000625,a119378,a00118567
a#000626,a119655,a00118844
a#000628,a120089,a00119279
a#000629,a120219,a00119409
a#000630,a120343,a00119533
a#000631,a120560,a00119750
a#000632,a120685,a00119875
a#000633,a120803,a00119993
a#000634,a120942,a00120132
a#000635,a121062,a00120252
a#000636,a121221,a00120411
a#000637,a121384,a00120574
a#000638,a121594,a00120784
a#000639,a121844,a00121034
a#000640,a121993,a00121183
a#000641,a122186,a00121376
a#000642,a122362,a00121552
a#000643,a122459,a00121649
a#000644,a122675,a00121865
a#000645,a122938,a00122128
a#000646,a123055,a00122245
a#000647,a123196,a00122386
a#000648,a123436,a00122626
a#000650,a124357,a00123485
a#000651,a124525,a00123653
a#000652,a124676,a00123804
a#000653,a124833,a00123961
a#000654,a124949,a00124077
a#000655,a125225,a00124353
a#000656,a125365,a00124493
a#000657,a125557,a00124685
a#000658,a125790,a00124918
a#000659,a125940,a00125068
a#000660,a126042,a00125170
a#000661,a126191,a00125319
a#000662,a126425,a00125553
a#000663,a126583,a00125711
a#000664,a126865,a00125993
a#000665,a126988,a00126116
a#000666,a127107,a00126235
a#000667,a127211,a00126339
a#000668,a127369,a00126497
a#000669,a127574,a00126702
a#000670,a127702,a00126830
a#000671,a128009,a00127137
a#000672,a128168,a00127296
a#000673,a128433,a00127543
a#000674,a128551,a00127661
a#000675,a128705,a00127815
a#000676,a128838,a00127948
a#000677,a129209,a00128137
a#000678,a129334,a00128262
a#000679,a129539,a00128467
a#000680,a129644,a00128572
a#000681,a129805,a00128733
a#000682,a129954,a00128882
a#000683,a130101,a00129029
a#000684,a130175,a00129103
a#000685,a130348,a00129276
a#000686,a130539,a00129467
a#000687,a130684,a00129612
a#000688,a130801,a00129729
a#000689,a130950,a00129878
a#000690,a131089,a00130017
a#000691,a131223,a00130151
a#000692,a131353,a00130281
a#000693,a131484,a00130412
a#000694,a131590,a00130518
a#000695,a131668,a00130596
a#000696,a131773,a00130701
a#000697,a131850,a00130778
a#000698,a132090,a00131018
a#000699,a132248,a00131176
a#000700,a132369,a00131297
a#000701,a132498,a00131426
a#000702,a132764,a00131692
a#000703,a132935,a00131863
a#000704,a133111,a00132040
a#000705,a133198,a00132127
a#000706,a133456,a00132385
a#000707,a133825,a00132754
a#000708,a133920,a00132849
a#000709,a134136,a00133065
a#000710,a134330,a00133259
a#000711,a134406,a00133335
a#000712,a134488,a00133417
a#000713,a134740,a00133669
a#000714,a134922,a00133851
a#000715,a135131,a00134060
a#000716,a135322,a00134251
a#000717,a135472,a00134401
a#000718,a135633,a00134562
a#000719,a135772,a00134701
a#000720,a136163,a00135092
a#000721,a136264,a00135193
a#000722,a136413,a00135342
a#000723,a136526,a00135455
a#000724,a136789,a00135718
a#000725,a137152,a00136081
a#000726,a137256,a00136185
a#000727,a137425,a00136354
a#000728,a137678,a00136589
a#000729,a137816,a00136727
a#000730,a137973,a00136884
a#000731,a138209,a00137120
a#000732,a138366,a00137277
a#000733,a138641,a00137373
a#000734,a138769,a00137501
a#000735,a138909,a00137641
a#000736,a138993,a00137725
a#000737,a139211,a00137943
a#000738,a139437,a00138169
a#000739,a139582,a00138314
a#000740,a139890,a00138622
a#000741,a140050,a00138782
a#000742,a140180,a00138912
a#000743,a140394,a00139126
a#000744,a140612,a00139344
a#000745,a140760,a00139492
a#000746,a140970,a00139702
a#000747,a141138,a00139870
a#000748,a141258,a00139990
a#000749,a141343,a00140075
a#000750,a141501,a00140233
a#000751,a141705,a00140437
a#000752,a141810,a00140542
a#000753,a142148,a00140880
a#000754,a142257,a00140989
a#000755,a142379,a00141111
a#000756,a142584,a00141316
a#000757,a142697,a00141429
a#000758,a142790,a00141522
a#000759,a142915,a00141647
a#000760,a143014,a00141746
a#000761,a143086,a00141818
a#000762,a143215,a00141947
a#000763,a143308,a00142040
a#000764,a143538,a00142270
a#000765,a143675,a00142407
a#000766,a143890,a00142622
a#000767,a143972,a00142704
a#000768,a144093,a00142825
a#000769,a144185,a00142917
a#000770,a144469,a00143201
a#000771,a144562,a00143294
a#000772,a144644,a00143376
a#000773,a144784,a00143516
a#000774,a144857,a00143589
a#000775,a145122,a00143854
a#000776,a145288,a00144020
a#000777,a145370,a00144102
a#000778,a145512,a00144244
a#000779,a145676,a00144408
a#000780,a145778,a00144510
a#000781,a145866,a00144598
a#000782,a145996,a00144728
a#000783,a146145,a00144877
a#000784,a146351,a00145083
a#000785,a146896,a00145628
a#000786,a146974,a00145706
a#000787,a147073,a00145805
a#000788,a147151,a00145883
a#000789,a147263,a00145995
a#000790,a147396,a00146128
a#000791,a147478,a00146210
a#000792,a147698,a00146430
a#000793,a147769,a00146501
a#000794,a147877,a00146609
a#000795,a147961,a00146693
a#000796,a148054,a00146786
a#000797,a148151,a00146883
a#000798,a148320,a00147052
a#000799,a148428,a00147160
a#000800,a148665,a00147397
a#000801,a148796,a00147528
a#000802,a148927,a00147659
a#000803,a149002,a00147734
a#000804,a149346,a00148078
a#000805,a149910,a00148642
a#000806,a150120,a00148852
a#000807,a150388,a00149120
a#000808,a150530,a00149262
a#000809,a150729,a00149461
a#000810,a150954,a00149686
a#000811,a151129,a00149861
a#000812,a151323,a00150055
a#000813,a151470,a00150202
a#000814,a151773,a00150505
a#000815,a152103,a00150835
a#000816,a152204,a00150936
a#000817,a152373,a00151105
a#000818,a152798,a00151530
a#000819,a152929,a00151661
a#000820,a153123,a00151855
a#000821,a153272,a00152004
a#000822,a153372,a00152104
a#000823,a153553,a00152285
a#000824,a153897,a00152629
a#000825,a154052,a00152784
a#000826,a154164,a00152896
a#000827,a154351,a00153083
a#000828,a154507,a00153239
a#000829,a154678,a00153410
a#000830,a154813,a00153545
a#000831,a154919,a00153652
a#000832,a155056,a00153789
a#000833,a155165,a00153898
a#000834,a155430,a00154163
a#000835,a155537,a00154270
a#000836,a155850,a00154583
a#000837,a156104,a00154837
a#000838,a156232,a00154965
a#000839,a156411,a00155144
a#000840,a156987,a00155720
a#000841,a157153,a00155886
a#000842,a157368,a00156101
a#000843,a157706,a00156440
a#000844,a157841,a00156575
a#000845,a158105,a00156839
a#000846,a158346,a00157080
a#000847,a158534,a00157268
a#000848,a158655,a00157389
a#000849,a158924,a00157659
a#000850,a159114,a00157849
a#000851,a159190,a00157925
a#000852,a159375,a00158110
a#000853,a159503,a00158238
